Date Time Hour Beginning,Date Time Hour Beginning,Original Res Forecast before Lockdown,Residual Forecast,RSA Contracted Forecast,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours
2019-04-01/2019-04-07,2019-04-04 11:30:00,25033.63814285713,26319.40416071427,24941.56904166665,24968.086702380933,26286.184226190482,1434.6798809523805,966.4011904761904,21913.98702380952,1847.982142857143,0.0,278.0654761904762,73.60714285714286,504.4404761904762,7.885714285714285,0.0,18.63194642857143,12.351720238095238,-2.0,-1.3256547619047587,0.0,-651.9404761904761,816.2881845238096,361.6575654761905,130.04799999999994,10.10377380952381,1318.0975238095236,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,6124.122220238095,8801.979815476187,531.9008928571427,9333.434523809523,413.4762083333333,1487.0169345238091,81.99880952380948,41.35065476190476,45.08642857142858
2019-04-08/2019-04-14,2019-04-11 11:30:00,25119.30702976189,26162.125523809522,25447.45074999998,25481.692815476174,26521.543613095248,1534.2322142857151,937.797619047619,22161.181547619053,1847.6845238095239,0.0,495.3333333333333,66.64880952380952,508.35714285714283,2.6785714285714284,0.0,31.563494047619045,89.86426190476192,-2.0,-0.964107142857142,0.0,-656.452380952381,511.06331547619067,352.0662916666666,167.85867857142858,8.862511904761908,1039.8507976190474,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,5527.64406547619,9314.711208333336,635.8847440476195,9950.07142857143,470.92857142857144,1299.839619047619,75.02440476190479,37.88392857142855,39.22791666666664
2019-04-15/2019-04-21,2019-04-18 11:30:00,24457.28666071428,25512.354666666666,24614.556773809498,24632.87522619045,25710.65667261905,1596.9487380952387,951.5357142857143,21749.747499999994,1848.1130952380952,0.0,30.732142857142858,57.607142857142854,526.7678571428571,1.3303571428571428,0.0,16.988095238095237,68.90838095238095,-2.0,-1.6229166666666641,0.0,-615.2321428571429,620.2305357142856,349.67614285714285,98.52600595238098,9.34876190476191,1077.7814464285714,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,6130.4839404761915,7968.8198214285685,609.8671964285708,8578.166666666666,488.32142857142856,1771.5719464285721,81.83154761904764,41.588392857142836,42.29633928571428
2019-04-22/2019-04-28,2019-04-25 11:30:00,25033.476976190483,26157.369863095235,25113.95205357142,25137.565744047606,26243.282505952393,1619.8741607142856,980.4107142857143,22369.80494047617,1848.6607142857142,0.17261904761904762,8.916666666666666,97.7797619047619,512.2083333333334,8.017857142857142,0.0,15.595833333333335,37.240922619047616,-2.0,-1.6592857142857123,0.0,-737.5833333333334,638.2217083333334,323.45242857142864,134.67554761904756,9.367077380952376,1105.7167619047618,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,4345.423440476191,7086.963654761909,526.5906904761903,7613.077380952381,463.8392857142857,1053.9664999999995,86.59523809523809,45.91690476190475,40.078154761904756
2019-04-29/2019-05-05,2019-05-02 11:30:00,24931.284279761916,26120.59700595237,25062.71481547617,25080.218190476175,26333.51301785714,1711.3886011904767,1066.642857142857,22587.926845238093,1310.547619047619,0.0,4.660714285714286,240.64880952380952,492.875,4.877976190476191,0.0,12.62539880952381,1.9754702380952383,-2.0,-1.6220238095238069,0.0,-638.9404761904761,734.1818273809522,361.29903571428565,144.88861904761902,12.925345238095238,1253.2948273809527,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,4573.048285714289,7836.37404761904,619.7261428571423,8455.636904761905,426.7559523809524,1180.91725595238,87.58630952380956,46.66607142857144,36.59773809523808
2019-05-06/2019-05-12,2019-05-09 11:30:00,25572.955279761914,26693.037208333313,25666.53745833332,25696.71692261903,26842.335261904762,1813.9992321428567,1337.7619047619048,23471.6225,929.8869047619048,0.0,0.0,73.01785714285714,567.2380952380952,9.655654761904762,0.0,20.523809523809526,40.199482142857136,-2.0,-4.653571428571418,0.0,-746.5357142857143,677.6897797619046,330.6072499999999,122.40889880952379,14.912410714285716,1145.6183392857151,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,4112.511267857138,8164.926386904759,575.20849404762,8739.607142857143,474.19642857142856,1213.6076249999996,82.71130952380952,42.454761904761895,33.515446428571416
2019-05-13/2019-05-19,2019-05-16 11:30:00,26065.09666666667,27210.87454761904,25989.73788095236,26023.528952380937,27208.522000000004,1708.5245,1232.220238095238,23062.068988095234,1750.5654761904761,0.0,3.732142857142857,83.57142857142857,560.0535714285714,2.7494047619047617,0.0,31.041666666666668,21.754785714285713,-2.0,-1.8537499999999998,0.0,-720.375,726.7165178571428,321.87497619047616,119.12989285714278,17.271660714285716,1184.9930476190475,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,3726.6587619047573,7948.10351190476,583.1910892857157,8530.767857142857,487.6309523809524,1759.0778095238102,87.10952380952382,46.49553571428574,36.68101190476189
2019-05-20/2019-05-26,2019-05-23 11:30:00,26289.593684523803,27217.71836309523,26376.163613095236,26409.42154761905,27307.039130952377,1741.3133988095228,1114.547619047619,23365.24720238095,1842.375,0.0,61.19047619047619,57.0,573.3452380952381,11.375,0.0,21.882934523809524,84.42843452380953,-2.0,-1.494166666666663,0.0,-718.4761904761905,503.0483095238095,295.41191071428574,83.6552976190476,15.502065476190475,897.6175833333331,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,44104.0,4554.357130952376,7164.645476190476,536.2211785714286,7700.363095238095,472.5892857142857,1890.2326607142863,85.39761904761909,43.576785714285705,33.54803571428573
2019-05-27/2019-06-02,2019-05-30 11:30:00,26836.95148809524,27616.636422619053,26918.558488095223,26953.866422619034,27768.18911904762,1798.1012916666673,1135.4166666666667,23994.169761904766,1844.0357142857142,0.42857142857142855,42.154761904761905,58.541666666666664,613.1071428571429,9.51279761904762,0.0,25.795136904761904,45.80890476190476,-1.994047619047619,-1.5035119047619014,0.0,-811.6071428571429,476.73494642857156,255.50635714285718,71.8670119047619,10.21438095238096,814.3226964285714,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,43986.0,3509.156011904767,8405.475238095245,573.6398392857136,8978.64880952381,430.1488095238095,1862.09099404762,85.95595238095238,44.5295238095238,34.485119047619065
2019-06-03/2019-06-09,2019-06-06 11:30:00,26166.2174047619,27454.59480357143,26133.040392857132,26165.071648809517,27489.125220238082,1735.4462857142858,1097.654761904762,23255.210833333334,1842.3333333333333,0.10714285714285714,54.43452380952381,59.345238095238095,595.8511904761905,10.105654761904763,0.0,21.925601190476193,19.10336904761905,-2.0,-1.6130952380952357,0.0,-787.3869047619048,890.3792142857142,314.64498809523815,109.1921071428572,9.837261904761906,1324.053571428572,2079.760000000005,1474.1900000000019,500.0,21.780000000000076,4075.7299999999905,43691.0,2621.9357261904775,9040.40958928571,567.5394999999999,9607.452380952382,447.5595238095238,1371.740208333333,84.40178571428575,42.52553571428571,35.5201488095238
